case,ion_channel_update_order,kca2p2,cdp,ca_channels,soma_max_abs_mV,soma_max_time_ms,soma_signed_delta_mV,compartment_max_abs_mV,compartment_max_time_ms,compartment_max_branch_index,compartment_max_local_index,compartment_max_branch_name,cai_max_abs,cai_max_time_ms,eca_max_abs,eca_max_time_ms,kca2p2_current_max_abs,kca2p2_current_max_time_ms,kca2p2_C2_max_abs,kca2p2_C2_max_time_ms,kca2p2_C3_max_abs,kca2p2_C3_max_time_ms,kca2p2_C4_max_abs,kca2p2_C4_max_time_ms,kca2p2_O1_max_abs,kca2p2_O1_max_time_ms,kca2p2_O2_max_abs,kca2p2_O2_max_time_ms
all_fixed_ca_with_kca2p2_family,family,True,False,True,23.0586466102837,82.7,-23.0586466102837,23.0586466102837,82.7,0,0,soma,0.0,0.0,3.62349846103578,0.0,1.6018393719892566e-05,28.3,6.938893903907228e-17,0.0,6.808789643208968e-17,9.4,2.574980159653073e-19,0.0,1.0072238182390336e-16,8.5,3.198396408832238e-18,0.0
all_no_ca_channel_with_kca2p2_family,family,True,True,False,0.0038631221379072933,85.7,-0.0038631221379072933,0.0038631221379072933,85.7,0,0,soma,3.784055690116855e-10,0.0,3.3175481935643347,0.0,9.320387442814487e-06,11.4,2.6368471836568652e-08,0.5,7.885145147500799e-10,0.6,4.673838970368886e-12,0.2,1.1539420647862543e-10,0.9,1.4288918552334776e-11,94.3
all_no_ca_channel_with_kca2p2_no_cdp_family,family,True,False,False,0.0024326651295791812,85.8,-0.0024326651295791812,0.0024326651295791812,85.8,0,0,soma,0.0,0.0,3.62349846103578,0.0,1.8035665736853702e-05,23.4,6.938893903907228e-17,0.0,6.808789643208968e-17,9.4,2.574980159653073e-19,0.0,1.0072238182390336e-16,8.5,3.198396408832238e-18,0.0
