case,ion_channel_update_order,kca2p2,cdp,ca_channels,soma_max_abs_mV,soma_max_time_ms,soma_signed_delta_mV,compartment_max_abs_mV,compartment_max_time_ms,compartment_max_branch_index,compartment_max_local_index,compartment_max_branch_name,cai_max_abs,cai_max_time_ms,eca_max_abs,eca_max_time_ms,kca2p2_current_max_abs,kca2p2_current_max_time_ms,kca2p2_C2_max_abs,kca2p2_C2_max_time_ms,kca2p2_C3_max_abs,kca2p2_C3_max_time_ms,kca2p2_C4_max_abs,kca2p2_C4_max_time_ms,kca2p2_O1_max_abs,kca2p2_O1_max_time_ms,kca2p2_O2_max_abs,kca2p2_O2_max_time_ms
full_no_kca2p2_family,family,False,True,True,0.8519441708504996,56.1,0.8519441708504996,0.8519441708504996,56.1,0,0,soma,1.516092442537518e-05,56.2,20.04748779965206,17.2,,,,,,,,,,,,
full_with_kca2p2_family,family,True,True,True,3.7300936002756897,79.6,3.7300936002756897,3.7300936002756897,79.6,0,0,soma,3.374117858658443e-05,79.9,19.7518134900004,11.3,0.00017636985570777022,85.4,0.0009115060387288321,74.8,0.0001722785718240409,80.5,5.073571088813741e-06,80.3,2.599790629970568e-05,81.1,2.1269731926818608e-05,82.6
