case,ion_channel_update_order,kca2p2,cdp,ca_channels,soma_max_abs_mV,soma_max_time_ms,soma_signed_delta_mV,compartment_max_abs_mV,compartment_max_time_ms,compartment_max_branch_index,compartment_max_local_index,compartment_max_branch_name,cai_max_abs,cai_max_time_ms,eca_max_abs,eca_max_time_ms,kca2p2_current_max_abs,kca2p2_current_max_time_ms,kca2p2_C2_max_abs,kca2p2_C2_max_time_ms,kca2p2_C3_max_abs,kca2p2_C3_max_time_ms,kca2p2_C4_max_abs,kca2p2_C4_max_time_ms,kca2p2_O1_max_abs,kca2p2_O1_max_time_ms,kca2p2_O2_max_abs,kca2p2_O2_max_time_ms
full_no_kca2p2_family,family,False,True,True,57.059926205871776,33.8,57.059926205871776,57.059926205871776,33.8,0,0,soma,0.0006276813187418321,28.6,27.67592631982933,28.5,,,,,,,,,,,,
full_with_kca2p2_family,family,True,True,True,57.48908761395581,28.4,57.48908761395581,57.48908761395581,28.4,0,0,soma,0.000594700705043664,86.0,26.89017545918209,23.0,0.00013959735046101775,51.3,0.034934946746291363,0.0,0.003879201996686666,80.1,9.965140063615636e-05,80.1,0.00038334988668000856,80.2,0.00033690628459397067,53.2
full_with_kca2p2_integration,integration,True,True,True,71.55018322020751,85.1,71.55018322020751,71.55018322020751,85.1,0,0,soma,0.0008044791263355259,85.4,32.44475318364704,79.7,0.0003116669015314498,85.1,0.047824965569414776,85.6,0.005407977263098343,85.6,0.00012875656920826228,85.5,0.0005531859398941264,85.7,0.00025798204181410656,53.8
fixed_ca_with_kca2p2_family,family,True,False,True,66.36681761716483,33.5,66.36681761716483,66.36681761716483,33.5,0,0,soma,0.0,0.0,3.62349846103578,0.0,2.7148020906744026e-05,28.4,0.038568652224671846,0.0,0.0013303939667688991,0.0,8.873981057258776e-06,0.0,0.00021295924824070756,0.0,0.0001064896186920686,0.0
no_ca_channel_with_kca2p2_family,family,True,True,False,93.2119847725603,51.8,-93.2119847725603,93.2119847725603,51.8,0,0,soma,3.784055690116855e-10,0.0,3.3175481935643347,0.0,1.922453490530255e-05,23.5,0.0348888745221751,0.0,0.0010750800345662509,0.0,6.418983065440048e-06,0.0,0.00017290085220603916,0.0,7.793000533935834e-05,0.0
no_ca_channel_with_kca2p2_no_cdp_family,family,True,False,False,93.25852074998353,46.2,-93.25852074998353,93.25852074998353,46.2,0,0,soma,0.0,0.0,3.62349846103578,0.0,3.931703948189811e-05,23.5,0.038568652224671846,0.0,0.0013303939667688991,0.0,8.873981057258776e-06,0.0,0.00021295924824070756,0.0,0.0001064896186920686,0.0
