comparison,metric,error_column,dt_ms,dt_half_ms,error_dt,error_dt_half,order_p
braincell_vs_ref,soma_cai,mean_abs,0.05,0.025,9.162278888947065e-05,7.393285486076633e-05,0.3094908544762598
braincell_vs_ref,soma_cai,mean_abs,0.025,0.0125,7.393285486076633e-05,4.890367450521269e-05,0.5962727530737415
braincell_vs_ref,soma_cai,mean_abs,0.0125,0.00625,4.890367450521269e-05,2.5204374421153365e-05,0.9562687231655942
braincell_vs_ref,soma_cai,rmse,0.1,0.05,0.00025210522275495264,0.00024444004529050763,0.044545352751715506
braincell_vs_ref,soma_cai,rmse,0.05,0.025,0.00024444004529050763,0.00022396640995169038,0.12619827754472535
braincell_vs_ref,soma_cai,rmse,0.025,0.0125,0.00022396640995169038,0.0001706702855006147,0.39207047566214065
braincell_vs_ref,soma_cai,rmse,0.0125,0.00625,0.0001706702855006147,9.508771640575748e-05,0.843881011820961
braincell_vs_ref,soma_v,max_abs,0.1,0.05,96.11122774782089,96.73885137396627,-0.00939043109444552
braincell_vs_ref,soma_v,max_abs,0.05,0.025,96.73885137396627,95.52353269941857,0.018239216022158306
braincell_vs_ref,soma_v,max_abs,0.025,0.0125,95.52353269941857,86.7950785930773,0.13824294997805464
braincell_vs_ref,soma_v,max_abs,0.0125,0.00625,86.7950785930773,80.40965620998404,0.11024448036167851
braincell_vs_ref,soma_v,mean_abs,0.1,0.05,13.001891866910405,9.746151454114957,0.4158170136867444
braincell_vs_ref,soma_v,mean_abs,0.05,0.025,9.746151454114957,6.929787949115349,0.492021435325585
braincell_vs_ref,soma_v,mean_abs,0.025,0.0125,6.929787949115349,4.323543637674144,0.6805969561554593
braincell_vs_ref,soma_v,mean_abs,0.0125,0.00625,4.323543637674144,2.2099821868835985,0.9681795094339459
braincell_vs_ref,soma_v,rmse,0.1,0.05,24.295225418796974,22.40141725399091,0.11708280920241879
braincell_vs_ref,soma_v,rmse,0.05,0.025,22.40141725399091,18.856588174392886,0.24852134417353716
braincell_vs_ref,soma_v,rmse,0.025,0.0125,18.856588174392886,13.637026928730473,0.4675395148937221
braincell_vs_ref,soma_v,rmse,0.0125,0.00625,13.637026928730473,8.31274522464031,0.7141322495171148
braincell_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.1,0.05,1.4228661876145912,0.675269886793391,1.0752638630238298
braincell_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.05,0.025,0.675269886793391,0.3244116719468641,1.0576384959882903
braincell_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.025,0.0125,0.3244116719468641,0.1560668690180845,1.055661422660777
braincell_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.0125,0.00625,0.1560668690180845,0.07113189943407609,1.1335957108504435
braincell_vs_ref,spike_time,max_abs_spike_time_error_ms,0.1,0.05,2.3194788848138685,1.0627102121070706,1.1260524673361179
braincell_vs_ref,spike_time,max_abs_spike_time_error_ms,0.05,0.025,1.0627102121070706,0.504047846284557,1.076115653599214
braincell_vs_ref,spike_time,max_abs_spike_time_error_ms,0.025,0.0125,0.504047846284557,0.24217688243306412,1.0574995310049042
braincell_vs_ref,spike_time,max_abs_spike_time_error_ms,0.0125,0.00625,0.24217688243306412,0.11091878599975047,1.1265574243829841
neuron_vs_ref,soma_cai,max_abs,0.1,0.05,0.0011279114613152708,0.0011293641115553675,-0.001856868175099376
neuron_vs_ref,soma_cai,max_abs,0.05,0.025,0.0011293641115553675,0.001128370046584243,0.0012704176810764572
neuron_vs_ref,soma_cai,max_abs,0.025,0.0125,0.001128370046584243,0.0010809234226641633,0.06197595426409835
neuron_vs_ref,soma_cai,max_abs,0.0125,0.00625,0.0010809234226641633,0.0007091537679440571,0.6080939294738238
neuron_vs_ref,soma_cai,mean_abs,0.1,0.05,0.00010578763041474258,9.161268569387955e-05,0.20755165660394115
neuron_vs_ref,soma_cai,mean_abs,0.05,0.025,9.161268569387955e-05,7.393437801109381e-05,0.3093020386821574
neuron_vs_ref,soma_cai,mean_abs,0.025,0.0125,7.393437801109381e-05,4.8904755388000304e-05,0.5962705883910782
neuron_vs_ref,soma_cai,mean_abs,0.0125,0.00625,4.8904755388000304e-05,2.520479677829644e-05,0.9562764342011822
neuron_vs_ref,soma_cai,rmse,0.1,0.05,0.0002521181115911423,0.00024441507108167803,0.04476651472404207
neuron_vs_ref,soma_cai,rmse,0.05,0.025,0.00024441507108167803,0.0002239666985104665,0.12604901245306926
neuron_vs_ref,soma_cai,rmse,0.025,0.0125,0.0002239666985104665,0.00017067316406969832,0.3920480017704502
neuron_vs_ref,soma_cai,rmse,0.0125,0.00625,0.00017067316406969832,9.50893562183061e-05,0.8438804650437383
neuron_vs_ref,soma_v,max_abs,0.1,0.05,96.1136300664404,96.75423561822845,-0.009583782639122839
neuron_vs_ref,soma_v,max_abs,0.05,0.025,96.75423561822845,95.52563631900603,0.018436856870491774
neuron_vs_ref,soma_v,max_abs,0.025,0.0125,95.52563631900603,86.79535838676465,0.1382700699816546
neuron_vs_ref,soma_v,max_abs,0.0125,0.00625,86.79535838676465,80.41003992044118,0.11024224659876966
neuron_vs_ref,soma_v,mean_abs,0.1,0.05,13.003434324223367,9.746735574053487,0.4159016921863412
neuron_vs_ref,soma_v,mean_abs,0.05,0.025,9.746735574053487,6.930124763817262,0.4920377794478012
neuron_vs_ref,soma_v,mean_abs,0.025,0.0125,6.930124763817262,4.323656936578243,0.6806292695770285
neuron_vs_ref,soma_v,mean_abs,0.0125,0.00625,4.323656936578243,2.210025919680813,0.9681887660530013
neuron_vs_ref,soma_v,rmse,0.1,0.05,24.295930864326003,22.4016212115796,0.11711156403607426
neuron_vs_ref,soma_v,rmse,0.05,0.025,22.4016212115796,18.857204460052152,0.24848732887169928
neuron_vs_ref,soma_v,rmse,0.025,0.0125,18.857204460052152,13.637296388652972,0.46755815884834784
neuron_vs_ref,soma_v,rmse,0.0125,0.00625,13.637296388652972,8.312883654431895,0.7141367314799261
neuron_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.1,0.05,1.423340910334618,0.6754304015838949,1.0754022265668821
neuron_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.05,0.025,0.6754304015838949,0.32445302048991803,1.0577975206677377
neuron_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.025,0.0125,0.32445302048991803,0.15607260787525176,1.0557922430506892
neuron_vs_ref,spike_time,mean_abs_spike_time_error_ms,0.0125,0.00625,0.15607260787525176,0.0711334409894507,1.1336174949043651
neuron_vs_ref,spike_time,max_abs_spike_time_error_ms,0.1,0.05,2.3203155426554574,1.0630536223193658,1.1261066418103827
neuron_vs_ref,spike_time,max_abs_spike_time_error_ms,0.05,0.025,1.0630536223193658,0.5041300897680117,1.0763463993450386
neuron_vs_ref,spike_time,max_abs_spike_time_error_ms,0.025,0.0125,0.5041300897680117,0.2421881380554396,1.0576678602323215
neuron_vs_ref,spike_time,max_abs_spike_time_error_ms,0.0125,0.00625,0.2421881380554396,0.11092220956357579,1.1265799459510697
