case,ion_channel_update_order,kca2p2,cdp,ca_channels,soma_max_abs_mV,soma_max_time_ms,soma_signed_delta_mV,compartment_max_abs_mV,compartment_max_time_ms,compartment_max_branch_index,compartment_max_local_index,compartment_max_branch_name,cai_max_abs,cai_max_time_ms,eca_max_abs,eca_max_time_ms,kca2p2_current_max_abs,kca2p2_current_max_time_ms,kca2p2_C2_max_abs,kca2p2_C2_max_time_ms,kca2p2_C3_max_abs,kca2p2_C3_max_time_ms,kca2p2_C4_max_abs,kca2p2_C4_max_time_ms,kca2p2_O1_max_abs,kca2p2_O1_max_time_ms,kca2p2_O2_max_abs,kca2p2_O2_max_time_ms
all_no_kca2p2_family,family,False,True,True,0.6405831023034536,56.2,0.6405831023034536,0.6405831023034536,56.2,0,0,soma,6.212496468492416e-06,56.5,20.76495685687273,11.3,,,,,,,,,,,,
all_with_kca2p2_family,family,True,True,True,7.06598009620833,85.5,7.06598009620833,7.06598009620833,85.5,0,0,soma,9.496350026208563e-05,85.6,21.041409543214556,11.3,0.00018989341932762311,79.8,0.004903964132212932,85.9,0.0005166659565213443,86.0,1.155632360549732e-05,85.9,6.512949425433855e-05,86.7,3.1736345447038686e-05,71.3
all_with_kca2p2_integration,integration,True,True,True,76.48507244554249,85.6,-76.48507244554249,76.48507244554249,85.6,0,0,soma,0.0008836230070676058,85.5,33.55723120986798,85.5,0.00034821328392762305,85.1,0.060361258590840544,85.6,0.0070239763101785715,85.7,0.00015785633587324046,85.6,0.0008543387965380062,85.8,0.00035303691458503025,85.8
